ticket_id,guest_name,unit_number,issue_description,priority,status,assigned_to,date_reported,last_updated
TKT-1001,Guest 1,204,Kitchen sink is leaking,Low,Open,,2026-08-20 03:25:38.041171,2026-08-21 01:25:38.041231
TKT-1002,Guest 2,201,Stains on the carpet,,Open,,2026-08-11 03:25:38.041286,2026-08-20 17:25:38.041301
TKT-1003,Guest 3,408,Broken window latch,Low,Open,,2026-08-13 03:25:38.041331,2026-08-20 20:25:38.041341
TKT-1004,Guest 4,407,Need extra towels,Low,Open,,2026-08-15 03:25:38.041370,2026-08-20 21:25:38.041379
TKT-1005,Guest 5,507,Broken window latch,,Open,,2026-08-13 03:25:38.041416,2026-08-20 20:25:38.041426
TKT-1006,Guest 6,205,Smart TV won't turn on,Low,Open,,2026-08-13 03:25:38.041452,2026-08-20 16:25:38.041461
TKT-1007,Guest 7,201,Smart TV won't turn on,,Open,,2026-08-14 03:25:38.041489,2026-08-20 20:25:38.041498
TKT-1008,Guest 8,304,Stains on the carpet,,Open,,2026-08-12 03:25:38.041522,2026-08-20 16:25:38.041538
TKT-1009,Guest 9,401,Wi-Fi keeps dropping in the living room,Medium,Open,,2026-08-15 03:25:38.041561,2026-08-15 11:25:38.041561
TKT-1010,Guest 10,407,Broken window latch,,Open,,2026-08-11 03:25:38.041601,2026-08-20 16:25:38.041611
TKT-1011,Guest 11,102,Wi-Fi keeps dropping in the living room,,Open,,2026-08-15 03:25:38.041636,2026-08-15 23:25:38.041636
TKT-1012,Guest 12,106,Broken window latch,,Open,,2026-08-15 03:25:38.041671,2026-08-21 02:25:38.041681
TKT-1013,Guest 13,203,Broken window latch,,Open,,2026-08-14 03:25:38.041705,2026-08-20 17:25:38.041715
TKT-1014,Guest 14,403,Broken window latch,,Open,,2026-08-19 03:25:38.041740,2026-08-20 15:25:38.041748
TKT-1015,Guest 15,303,Smart TV won't turn on,,Open,,2026-08-13 03:25:38.041769,2026-08-20 17:25:38.041777
TKT-1016,Guest 16,106,Heater is blowing cold air,Low,Open,,2026-08-18 03:25:38.041799,2026-08-20 18:25:38.041807
TKT-1017,Guest 17,503,Need extra towels,Low,Open,,2026-08-11 03:25:38.041832,2026-08-20 22:25:38.041841
TKT-1018,Guest 18,209,Heater is blowing cold air,,Open,,2026-08-15 03:25:38.041868,2026-08-21 00:25:38.041876
